1687207281.247041 client started (12202): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1687207281.247152 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:30 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T8103
1687207281.247404 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1687207281.247456 flags are 0x18010000
1687207281.247467 socket is /private/tmp/tmux-501/default
1687207281.247484 trying connect
1687207281.247553 add peer 0x138048000: 6 (0x0)
1687207281.254730 sending message 100 to peer 0x138048000 (4 bytes)
1687207281.254755 sending message 111 to peer 0x138048000 (8 bytes)
1687207281.254762 sending message 101 to peer 0x138048000 (15 bytes)
1687207281.254769 sending message 109 to peer 0x138048000 (4 bytes)
1687207281.254775 sending message 102 to peer 0x138048000 (13 bytes)
1687207281.254782 sending message 108 to peer 0x138048000 (62 bytes)
1687207281.254788 sending message 112 to peer 0x138048000 (58 bytes)
1687207281.254794 sending message 112 to peer 0x138048000 (5 bytes)
1687207281.254800 sending message 112 to peer 0x138048000 (5 bytes)
1687207281.254806 sending message 112 to peer 0x138048000 (6 bytes)
1687207281.254811 sending message 112 to peer 0x138048000 (6 bytes)
1687207281.254817 sending message 112 to peer 0x138048000 (11 bytes)
1687207281.254823 sending message 112 to peer 0x138048000 (10 bytes)
1687207281.254829 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.254835 sending message 112 to peer 0x138048000 (14 bytes)
1687207281.254841 sending message 112 to peer 0x138048000 (19 bytes)
1687207281.254847 sending message 112 to peer 0x138048000 (11 bytes)
1687207281.254853 sending message 112 to peer 0x138048000 (10 bytes)
1687207281.254859 sending message 112 to peer 0x138048000 (15 bytes)
1687207281.254864 sending message 112 to peer 0x138048000 (21 bytes)
1687207281.254870 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.254876 sending message 112 to peer 0x138048000 (7 bytes)
1687207281.254882 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.254889 sending message 112 to peer 0x138048000 (7 bytes)
1687207281.254895 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.254901 sending message 112 to peer 0x138048000 (9 bytes)
1687207281.254907 sending message 112 to peer 0x138048000 (21 bytes)
1687207281.254913 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.254919 sending message 112 to peer 0x138048000 (9 bytes)
1687207281.254925 sending message 112 to peer 0x138048000 (16 bytes)
1687207281.254930 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.254936 sending message 112 to peer 0x138048000 (9 bytes)
1687207281.254942 sending message 112 to peer 0x138048000 (9 bytes)
1687207281.254948 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.254954 sending message 112 to peer 0x138048000 (8 bytes)
1687207281.254960 sending message 112 to peer 0x138048000 (8 bytes)
1687207281.254966 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.254972 sending message 112 to peer 0x138048000 (7 bytes)
1687207281.254978 sending message 112 to peer 0x138048000 (7 bytes)
1687207281.254984 sending message 112 to peer 0x138048000 (9 bytes)
1687207281.254990 sending message 112 to peer 0x138048000 (9 bytes)
1687207281.254996 sending message 112 to peer 0x138048000 (15 bytes)
1687207281.255001 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255007 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255013 sending message 112 to peer 0x138048000 (8 bytes)
1687207281.255019 sending message 112 to peer 0x138048000 (14 bytes)
1687207281.255025 sending message 112 to peer 0x138048000 (11 bytes)
1687207281.255031 sending message 112 to peer 0x138048000 (9 bytes)
1687207281.255037 sending message 112 to peer 0x138048000 (10 bytes)
1687207281.255042 sending message 112 to peer 0x138048000 (10 bytes)
1687207281.255048 sending message 112 to peer 0x138048000 (10 bytes)
1687207281.255054 sending message 112 to peer 0x138048000 (10 bytes)
1687207281.255060 sending message 112 to peer 0x138048000 (11 bytes)
1687207281.255080 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255084 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255088 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255093 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255097 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255101 sending message 112 to peer 0x138048000 (11 bytes)
1687207281.255105 sending message 112 to peer 0x138048000 (11 bytes)
1687207281.255109 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255113 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255117 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255121 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255125 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255129 sending message 112 to peer 0x138048000 (9 bytes)
1687207281.255134 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255138 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255142 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255146 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255150 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255154 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255158 sending message 112 to peer 0x138048000 (8 bytes)
1687207281.255162 sending message 112 to peer 0x138048000 (11 bytes)
1687207281.255167 sending message 112 to peer 0x138048000 (11 bytes)
1687207281.255171 sending message 112 to peer 0x138048000 (11 bytes)
1687207281.255175 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255179 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255183 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255187 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255191 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255195 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255199 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255203 sending message 112 to peer 0x138048000 (8 bytes)
1687207281.255208 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255212 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255216 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255220 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255224 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255229 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255233 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255237 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255241 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255245 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255249 sending message 112 to peer 0x138048000 (8 bytes)
1687207281.255253 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255257 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255261 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255266 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255270 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255274 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255278 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255282 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255286 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255290 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255294 sending message 112 to peer 0x138048000 (8 bytes)
1687207281.255298 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255303 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255307 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255311 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255315 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255319 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255331 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255335 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255339 sending message 112 to peer 0x138048000 (13 bytes)
1687207281.255343 sending message 112 to peer 0x138048000 (12 bytes)
1687207281.255348 sending message 112 to peer 0x138048000 (10 bytes)
1687207281.255352 sending message 112 to peer 0x138048000 (12 bytes)
